"","grid_id","survey_block_id","surveyid","grid_id_tx","surveyed","num_times_surveyed.x","total_obs","total_len","block_survey_count","count","num_times_surveyed.y","longitude","latitude","trans_len","survey_prob","all_prob","combo_prob"
"1",6207,"USGS_2_6207","USGS_2",6207,1,1,0,111.5166173,0,1,1,-85.52096883,46.07725713,3.279900508,0,0,0
"2",6208,"USGS_2_6208","USGS_2",6208,1,1,0,118.2279845,0,1,1,-85.47600273,46.07725713,3.477293662,0,0,0
"3",6209,"USGS_2_6209","USGS_2",6209,1,1,0,118.2298506,0,1,1,-85.43103663,46.07725713,3.477348547,0,0,0
"4",6210,"USGS_2_6210","USGS_2",6210,1,1,0,118.2318216,0,1,1,-85.38607053,46.07725713,3.477406516,0,0,0
"5",6211,"USGS_2_6211","USGS_2",6211,1,1,0,118.2338974,0,1,1,-85.34110442,46.07725713,3.47746757,0,0,0
"6",6212,"USGS_2_6212","USGS_2",6212,1,1,2,58.95579564,0.033923722,1,1,-85.29613832,46.07725713,1.733993614,0.95196466376838,0.98638507423183,0.969174869000105
"7",6297,"USGS_2_6297","USGS_2",6297,1,1,0,118.3216129,0,1,1,-85.56593494,46.03229102,3.480047439,0,0,0
"8",6298,"USGS_2_6298","USGS_2",6298,1,1,6,118.3239472,0.050708248,1,1,-85.52096883,46.03229102,3.480116581,0.955629943534765,0.987027523088399,0.971328733311582
"9",6299,"USGS_2_6299","USGS_2",6299,1,1,1,118.3264306,0.008451197,1,1,-85.47600273,46.03229102,3.480188805,0.939371354082608,0.984166876397909,0.961769115240258
"10",6300,"USGS_2_6300","USGS_2",6300,1,1,0,118.3289797,0,1,1,-85.43103663,46.03229102,3.48026411,0,0,0
"11",6301,"USGS_2_6301","USGS_2",6301,1,1,0,118.3316449,0,1,1,-85.38607053,46.03229102,3.480342496,0,0,0
"12",6302,"USGS_2_6302","USGS_2",6302,1,1,0,118.3344147,0,1,1,-85.34110442,46.03229102,3.480423962,0,0,0
"13",6303,"USGS_2_6303","USGS_2",6303,1,1,2,118.3372807,0.016900845,1,1,-85.29613832,46.03229102,3.480508508,0.945634089630761,0.985272425814629,0.965453257722695
"14",6304,"USGS_2_6304","USGS_2",6304,1,1,16,118.3402762,0.135203335,1,1,-85.25117222,46.03229102,3.480596132,0.964592059343457,0.988596410258071,0.976594234800764
"15",6305,"USGS_2_6305","USGS_2",6305,1,1,0,118.3433524,0,1,1,-85.20620612,46.03229102,3.480686836,0,0,0
"16",6306,"USGS_2_6306","USGS_2",6306,1,1,0,118.346541,0,1,1,-85.16124002,46.03229102,3.480780618,0,0,0
"17",6307,"USGS_2_6307","USGS_2",6307,1,1,0,84.63633987,0,1,1,-85.11627391,46.03229102,2.489304114,0,0,0
"18",6398,"USGS_2_6398","USGS_2",6398,1,1,0,118.4109423,0,1,1,-85.61090104,45.98732492,3.482674775,0,0,0
"19",6399,"USGS_2_6399","USGS_2",6399,1,1,0,118.4126655,0,1,1,-85.56593494,45.98732492,3.482725457,0,0,0
"20",6400,"USGS_2_6400","USGS_2",6400,1,1,1,118.4145144,0.008444911,1,1,-85.52096883,45.98732492,3.482779225,0.939364650171592,0.984165690111786,0.961765170141689
"21",6401,"USGS_2_6401","USGS_2",6401,1,1,3,118.4163906,0.025334331,1,1,-85.47600273,45.98732492,3.482836079,0.949308171142827,0.985918705117669,0.967613438130248
